Lineto,Blank,Linevia,Operatorna,Routepathd
Blackburn, ,Monash University,SmartBus Ventura,703out_2s
Blackburn, ,Monash University,SmartBus Ventura,703out_s
Oakleigh, ,Huntingdale,Ventura Bus Lines,704in
Oakleigh, ,Huntingdale,Ventura Bus Lines,704in_s
Clayton, ,Huntingdale,Ventura Bus Lines,704out
Clayton, ,Huntingdale,Ventura Bus Lines,704out_1
Clayton, ,Huntingdale,Ventura Bus Lines,704out_s
Clayton, ,Huntingdale,Ventura Bus Lines,704out_s1
Mordialloc, ,Clayton South,Ventura (Cheltenham),705in
Springvale, ,Clayton South,Ventura (Cheltenham),705out
Merinda Park Station, ,,Cranbourne Transit,799in
The Avenue Village SC, ,,Cranbourne Transit,799out
Dandenong, ,Princes Hwy,Ventura (Dandenong),800in_1
Dandenong, ,Princes Hwy,Ventura (Dandenong),800in_2
Chadstone SC, ,Princes Hwy,Ventura (Dandenong),800out_1
Chadstone SC, ,Princes Hwy,Ventura (Dandenong),800out_2
Dandenong, ,Mulgrave,Ventura (Dandenong),802in
Chadstone SC, ,Mulgrave,Ventura (Dandenong),802out
Dandenong, ,Wheelers Hill,Ventura (Dandenong),804in
Chadstone SC, ,Wheelers Hill,Ventura (Dandenong),804out
Dandenong, ,Heatherton Rd > Springvale,Ventura Dandenong,811in
Dandenong, ,Heatherton Rd > Springvale,Ventura Dandenong,811in_1
Brighton, ,Springvale > Heatherton Rd,Ventura Dandenong,811out
Brighton, ,Springvale > Heatherton Rd,Ventura Dandenong,811out_1
Brighton, ,Springvale > Heatherton Rd,Ventura Dandenong,811out_2
Brighton, ,Springvale > Heatherton Rd,Ventura Dandenong,811out_3
Dandenong, ,Parkmore SC,Ventura Dandenong,812in
Dandenong, ,Parkmore SC,Ventura Dandenong,812in_1
Brighton, ,Parkmore SC,Ventura Dandenong,812out
Brighton, ,Parkmore SC,Ventura Dandenong,812out_1
Brighton, ,Parkmore SC,Ventura Dandenong,812out_2
Brighton, ,Parkmore SC,Ventura Dandenong,812out_short
Dandenong, ,Springvale,Ventura (Dandenong),813in
Waverley Gardens SC, ,Springvale,Ventura (Dandenong),813out
Dandenong, ,Waverley Gardens SC,Ventura (Dandenong),814in
Springvale South, ,Waverley Gardens SC,Ventura (Dandenong),814out
Dandenong, ,Chandler Rd,Ventura (Dandenong),815in
Noble Park, ,Chandler Rd,Ventura (Dandenong),815out
Dandenong Station, ,Hampton Park SC,Cranbourne Transit,892in
Casey Central SC, ,Hampton Park SC,Cranbourne Transit,892out
Dandenong Station, ,Hallam Station,Cranbourne Transit,893in
Cranbourne Park SC, ,Hallam Station,Cranbourne Transit,893out
Amberly Park, ,Hampton Park,Cranbourne Transit,894in
Amberly Park, ,Hampton Park,Cranbourne Transit,894in_1
Hallam  Station, ,Hampton Park,Cranbourne Transit,894out
Hallam  Station, ,Hampton Park,Cranbourne Transit,894out_1
Fountain Gate SC, ,Narre Warren Station,Cranbourne Transit,895in
Fountain Gate SC, ,Narre Warren Station,Cranbourne Transit,895in_1
Cranbourne Station, ,,Cranbourne Transit,796in
Warneet, ,,Cranbourne Transit,795out_pmS
Warneet, ,,Cranbourne Transit,795out_ am
Selandra Rise, ,Cranbourne Station,Cranbourne Transit,798out
Botanic Ridge and Pearcedale, ,Cranbourne West,Cranbourne Transit,792out
Clyde, ,Devon Meadows,Cranbourne Transit,796out
Frankston Station, ,Langwarrin,Cranbourne Transit,791in
Cranbourne Station, ,Langwarrin,Cranbourne Transit,791out
Langwarrin, ,Langwarrin South,Cranbourne Transit,790out
Cranbourne Station, ,Cranbourne West,Cranbourne Transit,792in
Cranbourne Park SC, ,Cranbourne Station,Cranbourne Transit,798in
Cranbourne, ,,Cranbourne Transit,795in_ am
Cranbourne, ,,Cranbourne Transit,795in_1am
Cranbourne, ,,Cranbourne Transit,795in_ pm
Middle Brighton, ,Monash University,SmartBus Ventura,703in_s
Middle Brighton, ,Monash University,SmartBus Ventura,703in_5s
Blackburn, ,Monash University,SmartBus Ventura,703out_2
Blackburn, ,Monash University,SmartBus Ventura,703out_1s3
Blackburn, ,Monash University,SmartBus Ventura,703out
Blackburn, ,Monash University,SmartBus Ventura,703out_1s1
Middle Brighton, ,Monash University,SmartBus Ventura,703in_4s
Blackburn, ,Monash University,SmartBus Ventura,703out_1
Blackburn, ,Monash University,SmartBus Ventura,703out_1s
Hampton, ,Southland SC,Ventura (Cheltenham),708in
Carrum, ,Southland SC,Ventura (Cheltenham),708out
Dandenong, ,Dandenong North,Ventura (Dandenong),862in
Chadstone SC, ,Dandenong North,Ventura (Dandenong),862out
Endeavour Hills, ,John Mitchell Dr,Ventura (Dandenong),861out
Hampton Park SC, ,Hallam Station,Ventura (Dandenong),863out
Endeavour Hills SC, ,Hallam Station,Ventura (Dandenong),863in
Noble Park Station, ,Keysborough South,Ventura (Dandenong),709out
Mordialloc, ,Keysborough South,Ventura (Dandenong),709in
Glen Waverley, ,Wanda St,Ventura (Dandenong),885in
Upper Ferntree Gully, ,Knox City SC,Ventura Bus Lines,732out
Upper Ferntree Gully, ,Knox City SC,Ventura Bus Lines,732out_1
Oakleigh, ,Monash University,Ventura Bus Lines,733in
Mordialloc, ,Station St,Ventura Bus Lines,706in
Chelsea, ,Station St,Ventura Bus Lines,706out
Box Hill, ,Knox City SC,Ventura Bus Lines,732in
Box Hill, ,Knox City SC,Ventura Bus Lines,732in_1
Box Hill, ,Knox City SC,Ventura Bus Lines,732in_2
